Time,Ping,Download,Upload,Tries
"20/06/21 9:06:06 PM"
"10/06/21 5:06:21 PM",38.961,31.28,5.86,0
"10/06/21 5:06:29 PM",32.517,27.4,5.68,0
"10/06/21 6:06:54 PM",33.703,30.12,5.86,0
"10/06/21 8:06:38 PM",34.057,29.9,5.59,0
"10/06/21 9:06:23 PM",43.992,177.08,5.71,0
"10/06/21 9:06:30 PM",30.457,158.88,5.79,0
"10/06/21 9:06:27 PM",80.312,134.85,5.44,0
"10/06/21 9:06:19 PM",29.973,150.06,5.95,0
"10/06/21 9:06:40 PM",39.211,104.72,6.15,0
"10/06/21 9:06:23 PM",32.681,169.13,6.05,0
"10/06/21 9:06:01 PM",32.512,124.6,6.02,0
"10/06/21 10:06:04 PM",35.534,100.57,5.91,0
"10/06/21 10:06:40 PM",41.966,184.06,5.94,0
"10/06/21 10:06:43 PM",62.633,142.94,6.17,0
"10/06/21 10:06:49 PM",37.416,138.89,5.94,0
"11/06/21 12:06:38 AM",34.006,155.05,5.5,0
"11/06/21 7:06:55 AM",31.738,138.5,5.16,0
"11/06/21 7:06:03 AM",29.649,141.67,5.39,0
"11/06/21 7:06:43 AM",36.946,164.06,5.98,0
"11/06/21 7:06:19 AM",35.627,176.1,5.58,0
"11/06/21 8:06:15 AM",33.284,156.68,6.01,0
"11/06/21 8:06:23 AM",30.581,149.62,5.95,0
"11/06/21 9:06:23 AM",33.945,155.76,5.99,0
"11/06/21 9:06:25 AM",29.997,129.05,5.88,0
"11/06/21 9:06:53 AM",33.019,95.4,5.63,0
"11/06/21 9:06:45 AM",92.552,44.54,5.24,0
"11/06/21 9:06:29 AM",35.312,99.89,5.81,0
"11/06/21 10:06:06 AM",34.025,144.1,5.92,0
"11/06/21 10:06:16 AM",31.051,147.9,5.78,0
"11/06/21 11:06:23 AM",29.977,112.64,5.85,0
"11/06/21 11:06:18 AM",31.539,124.57,4.82,0
"11/06/21 11:06:13 AM",32.931,123.92,5.82,1
"11/06/21 11:06:11 AM",36.146,161.98,5.54,1
"11/06/21 11:06:08 AM",0,0,0,3
"11/06/21 11:06:00 AM",36.699,169.96,5.88,1
"11/06/21 11:06:09 AM",37.527,160.61,5.79,1
"11/06/21 11:06:02 AM",33.438,118.11,5.92,1
"11/06/21 11:06:25 AM",32.066,143.73,4.67,1
"11/06/21 11:06:33 AM",46.494,127.89,5.75,1
"11/06/21 11:06:02 AM",41.265,124.95,5.83,1
"11/06/21 11:06:38 AM",34.807,166.23,5.87,1
"11/06/21 12:06:13 PM",0,0,0,5
"11/06/21 12:06:24 PM",33.738,153.4,6.02,1
"11/06/21 12:06:11 PM",0,0,0,5
"11/06/21 12:06:24 PM",32.415,99.83,6.02,1
"11/06/21 1:06:12 PM",0,0,0,5
"11/06/21 1:06:24 PM",43.569,168.92,5.92,1
"11/06/21 1:06:12 PM",0,0,0,5
"11/06/21 1:06:24 PM",32.14,166.91,6,1
"11/06/21 2:06:13 PM",0,0,0,5
"11/06/21 2:06:26 PM",71.79,79.71,5.78,1
"11/06/21 2:06:14 PM",0,0,0,5
"11/06/21 2:06:24 PM",31.514,31.16,6.04,1
"11/06/21 3:06:12 PM",0,0,0,5
"11/06/21 3:06:23 PM",35.944,32.04,6.18,1
"11/06/21 3:06:11 PM",0,0,0,5
"11/06/21 3:06:24 PM",33.65,30.73,5.98,1
"11/06/21 4:06:12 PM",0,0,0,5
"11/06/21 4:06:24 PM",42.907,32.39,6.02,1
"11/06/21 4:06:12 PM",0,0,0,5
"11/06/21 4:06:24 PM",35.245,51.65,5.82,1
"11/06/21 5:06:12 PM",0,0,0,5
"11/06/21 5:06:23 PM",36.421,169.24,6.06,1
"11/06/21 5:06:13 PM",0,0,0,5
"11/06/21 5:06:24 PM",39.007,155.07,5.89,1
"11/06/21 6:06:12 PM",0,0,0,5
"11/06/21 6:06:27 PM",48.946,45.72,5.91,1
"11/06/21 6:06:55 PM",42.62,37.28,5.86,1
"11/06/21 6:06:11 PM",0,0,0,5
"11/06/21 6:06:25 PM",39.745,28.52,5.82,1
"11/06/21 7:06:12 PM",0,0,0,5
"11/06/21 7:06:25 PM",54.57,18.02,5.94,1
"11/06/21 7:06:24 PM",34.174,92.57,6,1
"11/06/21 7:06:04 PM",32.282,99.27,5.96,1
"11/06/21 7:06:15 PM",0,0,0,5
"11/06/21 7:06:25 PM",44.13,37.16,6.06,1
"11/06/21 8:06:12 PM",0,0,0,5
"11/06/21 8:06:24 PM",39.316,135.95,5.92,1
"11/06/21 8:06:13 PM",0,0,0,5
"11/06/21 8:06:24 PM",43.468,156.56,6.11,1
"11/06/21 9:06:13 PM",0,0,0,5
"11/06/21 9:06:24 PM",31.621,141.24,5.97,1
"11/06/21 9:06:12 PM",0,0,0,5
"11/06/21 9:06:24 PM",30.99,143.88,5.53,1
"11/06/21 10:06:11 PM",0,0,0,5
"11/06/21 10:06:24 PM",31.941,156.46,5.99,1
"11/06/21 10:06:12 PM",0,0,0,5
"11/06/21 10:06:24 PM",39.9,112.83,5.85,1
"11/06/21 11:06:13 PM",0,0,0,5
"11/06/21 11:06:24 PM",33.655,123.47,5.97,1
"11/06/21 11:06:11 PM",0,0,0,5
"11/06/21 11:06:24 PM",36.637,160.15,5.46,1
"12/06/21 12:06:12 AM",0,0,0,5
"12/06/21 12:06:24 AM",36.652,72.93,6.01,1
"12/06/21 12:06:11 AM",0,0,0,5
"12/06/21 12:06:24 AM",37.383,104.83,6.01,1
"12/06/21 1:06:13 AM",0,0,0,5
"12/06/21 1:06:23 AM",43.592,101.89,6.01,1
"12/06/21 1:06:12 AM",0,0,0,5
"12/06/21 1:06:24 AM",34.969,109.2,5.95,1
"12/06/21 2:06:12 AM",0,0,0,5
"12/06/21 2:06:24 AM",29.897,126.57,6.02,1
"12/06/21 2:06:11 AM",0,0,0,5
"12/06/21 2:06:25 AM",36.452,3.82,5.53,1
"12/06/21 3:06:12 AM",0,0,0,5
"12/06/21 3:06:24 AM",38.57,90.35,5.98,1
"12/06/21 3:06:13 AM",0,0,0,5
"12/06/21 3:06:24 AM",37.066,30.72,5.9,1
"12/06/21 4:06:14 AM",0,0,0,5
"12/06/21 4:06:25 AM",40.721,32.71,5.08,1
"12/06/21 4:06:12 AM",0,0,0,5
"12/06/21 4:06:24 AM",35.574,8.04,5.88,1
"12/06/21 5:06:12 AM",0,0,0,5
"12/06/21 5:06:23 AM",30.826,121.53,6.19,1
"12/06/21 5:06:39 AM",30.999,11.95,5.99,3
"12/06/21 5:06:23 AM",32.975,40.78,6.07,1
"12/06/21 6:06:11 AM",0,0,0,5
"12/06/21 6:06:24 AM",32.027,110.98,5.98,1
"12/06/21 6:06:14 AM",0,0,0,5
"12/06/21 6:06:23 AM",35.031,108.72,6.02,1
"12/06/21 7:06:11 AM",0,0,0,5
"12/06/21 7:06:24 AM",33.65,49.95,6.13,1
"12/06/21 7:06:10 AM",0,0,0,5
"12/06/21 7:06:24 AM",32.774,96.74,6.05,1
"12/06/21 8:06:13 AM",0,0,0,5
"12/06/21 8:06:24 AM",32.751,50.5,5.99,1
"12/06/21 8:06:12 AM",0,0,0,5
"12/06/21 8:06:24 AM",41.968,152.38,5.96,1
"12/06/21 9:06:11 AM",0,0,0,5
"12/06/21 9:06:23 AM",32.779,64.66,6.19,1
"12/06/21 9:06:11 AM",0,0,0,5
"12/06/21 9:06:24 AM",47.24,115.36,6.02,1
"12/06/21 10:06:13 AM",0,0,0,5
"12/06/21 10:06:25 AM",45.815,7.88,5.81,1
"12/06/21 10:06:13 AM",0,0,0,5
"12/06/21 10:06:24 AM",34.813,46.85,6.01,1
"12/06/21 11:06:12 AM",0,0,0,5
"12/06/21 11:06:29 AM",32.97,84.57,3.99,1
"12/06/21 11:06:12 AM",0,0,0,5
"12/06/21 11:06:25 AM",34.884,13.21,6.08,1
"12/06/21 12:06:38 PM",33.915,15.21,5.94,4
"12/06/21 12:06:25 PM",41.241,12.05,5.97,1
"12/06/21 12:06:37 PM",35.284,19.68,5.97,5
"12/06/21 12:06:26 PM",35.321,11.37,5.22,1
"12/06/21 1:06:37 PM",32.926,15.48,5.73,4
"12/06/21 1:06:54 PM",89.663,73.76,5.67,1
"12/06/21 1:06:28 PM",71.498,2.14,5.89,1
"12/06/21 1:06:12 PM",0,0,0,5
"12/06/21 1:06:24 PM",34.938,31.9,6.06,1
"12/06/21 2:06:12 PM",0,0,0,5
"12/06/21 2:06:24 PM",33.454,30.29,6.07,1
"12/06/21 2:06:12 PM",0,0,0,5
"12/06/21 2:06:24 PM",34.57,28.94,6.07,1
"12/06/21 3:06:11 PM",0,0,0,5
"12/06/21 3:06:24 PM",31.725,30.54,6.09,1
"12/06/21 3:06:12 PM",0,0,0,5
"12/06/21 3:06:24 PM",31.513,32.04,6.07,1
"12/06/21 4:06:12 PM",0,0,0,5
"12/06/21 4:06:24 PM",43.312,30.98,6.21,1
"12/06/21 4:06:11 PM",0,0,0,5
"12/06/21 4:06:24 PM",42.387,30.13,6.03,1
"12/06/21 5:06:11 PM",0,0,0,5
"12/06/21 5:06:24 PM",35.672,32.75,5.96,1
"12/06/21 5:06:11 PM",0,0,0,5
"12/06/21 5:06:24 PM",32.293,29.58,6.01,1
"12/06/21 6:06:12 PM",0,0,0,5
"12/06/21 6:06:24 PM",33.31,30.34,6.05,1
"12/06/21 6:06:11 PM",0,0,0,5
"12/06/21 6:06:24 PM",41.049,32.2,6.07,1
"12/06/21 7:06:12 PM",0,0,0,5
"12/06/21 7:06:33 PM",35.505,32.24,0.77,1
"12/06/21 7:06:13 PM",0,0,0,5
"12/06/21 7:06:25 PM",36.772,29.27,5.95,1
"12/06/21 8:06:11 PM",0,0,0,5
"12/06/21 8:06:24 PM",35.928,31.05,6.03,1
"12/06/21 8:06:13 PM",0,0,0,5
"12/06/21 8:06:24 PM",50.431,4.89,5.55,1
"12/06/21 9:06:14 PM",0,0,0,5
"12/06/21 9:06:24 PM",33.576,15.62,6.02,1
"12/06/21 9:06:11 PM",0,0,0,5
"12/06/21 9:06:24 PM",34.325,142.77,5.9,1
"12/06/21 10:06:12 PM",0,0,0,5
"12/06/21 10:06:24 PM",34.621,115.26,5.77,1
"12/06/21 10:06:12 PM",0,0,0,5
"12/06/21 10:06:24 PM",37.801,136.68,5.88,1
"12/06/21 11:06:12 PM",0,0,0,5
"12/06/21 11:06:24 PM",37.816,155.93,5.59,1
"12/06/21 11:06:12 PM",0,0,0,5
"12/06/21 11:06:23 PM",36.126,167.31,6.04,1
"13/06/21 12:06:13 AM",0,0,0,5
"13/06/21 12:06:24 AM",39.776,161.94,6.13,1
"13/06/21 12:06:12 AM",0,0,0,5
"13/06/21 12:06:24 AM",40.859,156.36,6.01,1
"13/06/21 1:06:11 AM",0,0,0,5
"13/06/21 1:06:24 AM",33.721,141.05,6.02,1
"13/06/21 1:06:11 AM",0,0,0,5
"13/06/21 1:06:25 AM",33.361,161.92,5.88,1
"13/06/21 2:06:11 AM",0,0,0,5
"13/06/21 2:06:24 AM",31.801,140.78,6.04,1
"13/06/21 2:06:12 AM",0,0,0,5
"13/06/21 2:06:24 AM",33.668,68.01,5.46,1
"13/06/21 3:06:12 AM",0,0,0,5
"13/06/21 3:06:23 AM",52.819,34.84,5.98,1
"13/06/21 3:06:12 AM",0,0,0,5
"13/06/21 3:06:25 AM",32.752,10.79,5.95,1
"13/06/21 4:06:48 AM",61.641,6.74,2.9,1
"13/06/21 4:06:26 AM",39.761,10.55,5.28,1
"13/06/21 4:06:14 AM",0,0,0,5
"13/06/21 4:06:24 AM",38.662,13.38,5.93,1
"13/06/21 5:06:13 AM",0,0,0,5
"13/06/21 5:06:24 AM",37.72,21.89,6.16,1
"13/06/21 5:06:14 AM",0,0,0,5
"13/06/21 5:06:24 AM",43.021,22.6,6.16,1
"13/06/21 6:06:12 AM",0,0,0,5
"13/06/21 6:06:24 AM",38.296,17.95,5.88,1
"13/06/21 6:06:12 AM",0,0,0,5
"13/06/21 6:06:26 AM",34.434,6.11,5.74,1
"13/06/21 7:06:14 AM",0,0,0,5
"13/06/21 7:06:25 AM",63.583,5.92,5.79,1
"13/06/21 7:06:11 AM",0,0,0,5
"13/06/21 7:06:24 AM",35.578,154.09,6.04,1
"13/06/21 8:06:12 AM",0,0,0,5
"13/06/21 8:06:24 AM",31.51,147.23,5.97,1
"13/06/21 8:06:12 AM",0,0,0,5
"13/06/21 8:06:24 AM",34.125,179.79,6.19,1
"13/06/21 9:06:12 AM",0,0,0,5
"13/06/21 9:06:24 AM",37.727,184.35,6.14,1
"13/06/21 9:06:11 AM",0,0,0,5
"13/06/21 9:06:24 AM",35.201,176.74,6.22,1
"13/06/21 10:06:10 AM",0,0,0,5
"13/06/21 10:06:24 AM",40.138,162.58,6.01,1
"13/06/21 10:06:12 AM",0,0,0,5
"13/06/21 10:06:24 AM",42.397,7.82,5.98,1
"13/06/21 11:06:11 AM",0,0,0,5
"13/06/21 11:06:24 AM",28.092,98.51,5.96,1
"13/06/21 11:06:14 AM",0,0,0,5
"13/06/21 11:06:23 AM",27.786,168.57,6.02,1
"13/06/21 12:06:12 PM",0,0,0,5
"13/06/21 12:06:24 PM",29.485,152.97,6.03,1
"13/06/21 12:06:53 PM",42.398,3.07,2.27,3
"13/06/21 12:06:32 PM",32.621,1.7,6.01,1
"13/06/21 1:06:11 PM",0,0,0,5
"13/06/21 1:06:24 PM",28.96,120.94,5.98,1
"13/06/21 1:06:39 PM",40.693,10.53,5.93,3
"13/06/21 1:06:28 PM",33.928,7.15,5.96,1
"13/06/21 2:06:12 PM",0,0,0,5
"13/06/21 2:06:27 PM",36.672,40.64,5.71,1
"13/06/21 2:06:12 PM",0,0,0,5
"13/06/21 2:06:23 PM",28.52,49.49,6.06,1
"13/06/21 3:06:14 PM",0,0,0,5
"13/06/21 3:06:25 PM",32.111,27.24,6.07,1
"13/06/21 3:06:12 PM",0,0,0,5
"13/06/21 3:06:24 PM",28.862,26.05,5.91,1
"13/06/21 4:06:12 PM",0,0,0,5
"13/06/21 4:06:42 PM",52.221,13.25,6.15,1
"13/06/21 4:06:36 PM",35.717,28.19,5.97,5
"13/06/21 4:06:23 PM",32.386,32.68,6.16,1
"13/06/21 5:06:11 PM",0,0,0,5
"13/06/21 5:06:24 PM",28.348,32.4,6.05,1
"13/06/21 5:06:10 PM",0,0,0,5
"13/06/21 5:06:24 PM",30.61,28.31,5.98,1
"13/06/21 6:06:10 PM",0,0,0,5
"13/06/21 6:06:23 PM",44.957,32.25,6.04,1
"13/06/21 6:06:10 PM",0,0,0,5
"13/06/21 6:06:24 PM",30.932,32.21,6.04,1
"13/06/21 7:06:11 PM",0,0,0,5
"13/06/21 7:06:24 PM",33.288,32.26,5.98,1
"13/06/21 7:06:12 PM",0,0,0,5
"13/06/21 7:06:24 PM",54.189,32.61,6.07,1
"13/06/21 8:06:11 PM",0,0,0,5
"13/06/21 8:06:24 PM",51.613,32.65,6.19,1
"13/06/21 8:06:11 PM",0,0,0,5
"13/06/21 8:06:24 PM",39.945,31.99,6.03,1
"13/06/21 9:06:11 PM",0,0,0,5
"13/06/21 9:06:24 PM",58.527,27.87,6.1,1
"13/06/21 9:06:12 PM",0,0,0,5
"13/06/21 9:06:24 PM",38.504,26.55,5.87,1
"13/06/21 10:06:11 PM",0,0,0,5
"13/06/21 10:06:25 PM",50.923,29.5,5.95,1
"13/06/21 10:06:11 PM",0,0,0,5
"13/06/21 10:06:24 PM",38.804,32.05,5.86,1
"13/06/21 11:06:11 PM",0,0,0,5
"13/06/21 11:06:24 PM",35.869,29.74,6.05,1
"13/06/21 11:06:11 PM",0,0,0,5
"13/06/21 11:06:23 PM",33.976,32.6,6.17,1
"14/06/21 12:06:12 AM",0,0,0,5
"14/06/21 12:06:24 AM",29.62,32.65,5.94,1
"14/06/21 12:06:11 AM",0,0,0,5
"14/06/21 12:06:24 AM",33.771,32.81,6.14,1
"14/06/21 1:06:11 AM",0,0,0,5
"14/06/21 1:06:23 AM",27.097,32.05,5.99,1
"14/06/21 1:06:11 AM",0,0,0,5
"14/06/21 1:06:24 AM",31.574,31.33,6.03,1
"14/06/21 2:06:11 AM",0,0,0,5
"14/06/21 2:06:24 AM",28.472,32.7,5.95,1
"14/06/21 2:06:11 AM",0,0,0,5
"14/06/21 2:06:24 AM",38.629,160.24,6.02,1
"14/06/21 3:06:11 AM",0,0,0,5
"14/06/21 3:06:24 AM",29.651,8.58,5.95,1
"14/06/21 3:06:12 AM",0,0,0,5
"14/06/21 3:06:24 AM",40.226,32.71,4.14,1
"14/06/21 4:06:11 AM",0,0,0,5
"14/06/21 4:06:24 AM",29.632,32.74,6.24,1
"14/06/21 4:06:11 AM",0,0,0,5
"14/06/21 4:06:24 AM",28.237,16.43,6,1
"14/06/21 5:06:37 AM",32.757,18.85,5.97,5
"14/06/21 5:06:25 AM",37.627,10.3,1.05,1
"14/06/21 5:06:40 AM",41.929,5.26,2.78,5
"14/06/21 5:06:36 AM",37.663,3.77,1.75,1
"14/06/21 6:06:10 AM",0,0,0,5
"14/06/21 6:06:24 AM",33.243,161.94,5.97,1
"14/06/21 6:06:10 AM",0,0,0,5
"14/06/21 6:06:24 AM",32.503,161.5,6.06,1
"14/06/21 7:06:11 AM",0,0,0,5
"14/06/21 7:06:24 AM",40.358,146.63,6.09,1
"14/06/21 7:06:10 AM",0,0,0,5
"14/06/21 7:06:24 AM",41.993,182.72,6.07,1
"14/06/21 8:06:37 AM",32.317,154.83,5.99,5
"14/06/21 8:06:24 AM",37.281,166.79,5.85,1
"14/06/21 8:06:10 AM",0,0,0,5
"14/06/21 8:06:24 AM",28.995,179.06,5.95,1
"14/06/21 9:06:10 AM",0,0,0,5
"14/06/21 9:06:24 AM",27.554,158.88,5.93,1
"14/06/21 9:06:11 AM",0,0,0,5
"14/06/21 9:06:24 AM",28.505,160.9,5.98,1
"14/06/21 10:06:11 AM",0,0,0,5
"14/06/21 10:06:24 AM",27.628,166.36,5.85,1
"14/06/21 10:06:11 AM",0,0,0,5
"14/06/21 10:06:24 AM",34.818,169.69,6.14,1
"14/06/21 11:06:10 AM",0,0,0,5
"14/06/21 11:06:24 AM",32.391,175.43,5.92,1
"14/06/21 11:06:10 AM",0,0,0,5
"14/06/21 11:06:24 AM",33.454,157.87,5.84,1
"14/06/21 12:06:12 PM",0,0,0,5
"14/06/21 12:06:24 PM",29.902,166.39,5.9,1
"14/06/21 12:06:11 PM",0,0,0,5
"14/06/21 12:06:25 PM",28.808,180.43,5.86,1
"14/06/21 1:06:11 PM",0,0,0,5
"14/06/21 1:06:23 PM",37.357,160.43,5.99,1
"14/06/21 1:06:20 PM",81.222,2.78,1.11,4
"14/06/21 1:06:54 PM",86.43,0,0,1
"14/06/21 1:06:41 PM",0,0,0,5
"14/06/21 1:06:51 PM",0,0,0,5
"14/06/21 2:06:38 PM",49.361,134.63,5.66,2
"14/06/21 2:06:24 PM",38.414,156.93,6.1,1
"14/06/21 2:06:12 PM",0,0,0,5
"14/06/21 2:06:24 PM",33.957,115.44,5.93,1
"14/06/21 3:06:12 PM",0,0,0,5
"14/06/21 3:06:24 PM",35.915,137.95,5.94,1
"14/06/21 3:06:12 PM",0,0,0,5
"14/06/21 3:06:26 PM",40.3,95.77,2.41,1
"14/06/21 4:06:44 PM",58.418,62.08,2.41,3
"14/06/21 4:06:28 PM",33.213,39.49,2.76,1
"14/06/21 4:06:11 PM",0,0,0,5
"14/06/21 4:06:24 PM",32.121,153.57,6.14,1
"14/06/21 5:06:38 PM",31.861,38.32,6.04,5
"14/06/21 5:06:24 PM",32.287,109.43,6.08,1
"14/06/21 5:06:11 PM",0,0,0,5
"14/06/21 5:06:30 PM",43.838,55.82,5.28,1
"14/06/21 6:06:12 PM",0,0,0,5
"14/06/21 6:06:24 PM",34.307,93.23,5.91,1
"14/06/21 6:06:11 PM",0,0,0,5
"14/06/21 6:06:24 PM",32.459,38.72,5.95,1
"14/06/21 7:06:10 PM",0,0,0,5
"14/06/21 7:06:24 PM",32.302,75.24,6.01,1
"14/06/21 7:06:12 PM",0,0,0,5
"14/06/21 7:06:24 PM",33.807,116.72,6.01,1
"14/06/21 8:06:11 PM",0,0,0,5
"14/06/21 8:06:24 PM",32.795,130.27,6.01,1
"14/06/21 8:06:37 PM",27.638,106.79,5.86,5
"14/06/21 8:06:23 PM",35.742,144.25,6.19,1
"14/06/21 9:06:12 PM",0,0,0,5
"14/06/21 9:06:24 PM",36.427,100.01,5.96,1
"14/06/21 9:06:11 PM",0,0,0,5
"14/06/21 9:06:23 PM",28.515,127.43,5.94,1
"14/06/21 10:06:11 PM",0,0,0,5
"14/06/21 10:06:24 PM",29.405,151.68,5.91,1
"14/06/21 10:06:11 PM",0,0,0,5
"14/06/21 10:06:24 PM",36.435,158.36,5.89,1
"14/06/21 11:06:11 PM",0,0,0,5
"14/06/21 11:06:24 PM",30.224,132.37,6.04,1
"14/06/21 11:06:10 PM",0,0,0,5
"14/06/21 11:06:24 PM",31.114,88.76,6.03,1
"15/06/21 12:06:12 AM",0,0,0,5
"15/06/21 12:06:24 AM",40.471,51.87,5.97,1
"15/06/21 12:06:13 AM",0,0,0,5
"15/06/21 12:06:24 AM",28.908,155.27,5.85,1
"15/06/21 1:06:11 AM",0,0,0,5
"15/06/21 1:06:24 AM",33.652,124.98,5.96,1
"15/06/21 1:06:11 AM",0,0,0,5
"15/06/21 1:06:24 AM",29.103,165.8,5.89,1
"15/06/21 2:06:14 AM",0,0,0,5
"15/06/21 2:06:23 AM",30.79,169.79,5.98,1
"15/06/21 2:06:09 AM",0,0,0,5
"15/06/21 2:06:24 AM",36.853,185.19,6.09,1
"15/06/21 3:06:10 AM",0,0,0,5
"15/06/21 3:06:23 AM",29.434,152.77,5.99,1
"15/06/21 3:06:11 AM",0,0,0,5
"15/06/21 3:06:23 AM",31.615,171.61,5.93,1
"15/06/21 4:06:09 AM",0,0,0,5
"15/06/21 4:06:24 AM",29.542,169.75,5.94,1
"15/06/21 4:06:08 AM",0,0,0,5
"15/06/21 4:06:23 AM",29.571,166.1,6.05,1
"15/06/21 5:06:12 AM",0,0,0,5
"15/06/21 5:06:23 AM",29.435,176.25,5.98,1
"15/06/21 5:06:11 AM",0,0,0,5
"15/06/21 5:06:24 AM",32.076,167.59,5.97,1
"15/06/21 6:06:09 AM",0,0,0,5
"15/06/21 6:06:24 AM",33.938,153.64,5.97,1
"15/06/21 6:06:10 AM",0,0,0,5
"15/06/21 6:06:23 AM",32.283,165.37,6.03,1
"15/06/21 7:06:11 AM",0,0,0,5
"15/06/21 7:06:24 AM",29.981,161.77,5.99,1
"15/06/21 7:06:10 AM",0,0,0,5
"15/06/21 7:06:24 AM",36.203,174.24,5.19,1
"15/06/21 8:06:13 AM",0,0,0,5
"15/06/21 8:06:24 AM",55.13,132.92,5.85,1
"15/06/21 8:06:12 AM",0,0,0,5
"15/06/21 8:06:23 AM",29.762,149.88,5.93,1
"15/06/21 9:06:13 AM",0,0,0,5
"15/06/21 9:06:24 AM",31.192,166.77,5.84,1
"15/06/21 9:06:11 AM",0,0,0,5
"15/06/21 9:06:24 AM",41.159,153.21,5.97,1
"15/06/21 10:06:10 AM",0,0,0,5
"15/06/21 10:06:24 AM",46.207,129.45,5.99,1
"15/06/21 10:06:10 AM",0,0,0,5
"15/06/21 10:06:24 AM",50.31,138.97,6.15,1
"15/06/21 11:06:47 AM",52.678,2.54,2.36,3
"15/06/21 11:06:39 AM",60.048,4.04,2.85,1
"15/06/21 11:06:42 AM",44.876,3.28,2.57,1
"15/06/21 11:06:52 AM",77.273,1.34,0.41,1
"15/06/21 12:06:53 PM",58.522,2.32,2.08,5
"15/06/21 12:06:52 PM",0,0,0,5
"15/06/21 12:06:12 PM",0,0,0,5
"15/06/21 12:06:24 PM",52.762,29.38,6.06,1
"15/06/21 1:06:10 PM",0,0,0,5
"15/06/21 1:06:24 PM",29.591,31.19,5.95,1
"15/06/21 1:06:10 PM",0,0,0,5
"15/06/21 1:06:23 PM",28.501,28.38,5.56,1
"15/06/21 2:06:10 PM",0,0,0,5
"15/06/21 2:06:23 PM",36.269,30.6,5.93,1
"15/06/21 2:06:11 PM",0,0,0,5
"15/06/21 2:06:24 PM",42.062,29.27,5.94,1
"15/06/21 3:06:12 PM",0,0,0,5
"15/06/21 3:06:24 PM",53.579,29.88,6.06,1
"15/06/21 3:06:10 PM",0,0,0,5
"15/06/21 3:06:25 PM",50.235,28.84,5.86,1
"15/06/21 4:06:09 PM",0,0,0,5
"15/06/21 4:06:24 PM",30.054,27.08,5.95,1
"15/06/21 4:06:09 PM",0,0,0,5
"15/06/21 4:06:23 PM",36.534,31.44,5.85,1
"15/06/21 5:06:12 PM",0,0,0,5
"15/06/21 5:06:23 PM",28.297,31.37,5.85,1
"15/06/21 5:06:10 PM",0,0,0,5
"15/06/21 5:06:24 PM",37.918,31.86,6.11,1
"15/06/21 6:06:13 PM",0,0,0,5
"15/06/21 6:06:23 PM",30.342,31.58,6.01,1
"15/06/21 6:06:11 PM",0,0,0,5
"15/06/21 6:06:24 PM",41.115,32.31,5.94,1
"15/06/21 7:06:11 PM",0,0,0,5
"15/06/21 7:06:23 PM",28.18,31.68,6.06,1
"15/06/21 7:06:10 PM",0,0,0,5
"15/06/21 7:06:23 PM",26.295,28.64,5.76,1
"15/06/21 8:06:09 PM",0,0,0,5
"15/06/21 8:06:24 PM",30.395,182.3,5.92,1
"15/06/21 8:06:11 PM",0,0,0,5
"15/06/21 8:06:24 PM",45.115,180.8,5.95,1
"15/06/21 9:06:10 PM",0,0,0,5
"15/06/21 9:06:23 PM",33.009,121.15,6.01,1
